"Date","Daily weather in 20 US cities"
"2010-01-01",10.0
"2010-01-02",12.8
"2010-01-03",11.1
"2010-01-04",11.7
"2010-01-05",11.1
"2010-01-06",10.6
"2010-01-07",8.9
"2010-01-08",10.0
"2010-01-09",13.9
"2010-01-10",11.1
"2010-01-11",10.0
"2010-01-12",11.1
"2010-01-13",11.7
"2010-01-14",10.0
"2010-01-15",10.0
"2010-01-16",11.7
"2010-01-17",11.1
"2010-01-18",11.7
"2010-01-19",10.0
"2010-01-20",10.0
"2010-01-21",10.0
"2010-01-22",8.3
"2010-01-23",6.1
"2010-01-24",6.7
"2010-01-25",6.7
"2010-01-26",8.3
"2010-01-27",11.7
"2010-01-28",7.8
"2010-01-29",9.4
"2010-01-30",8.9
"2010-01-31",7.8
"2010-02-01",9.4
"2010-02-02",10.6
"2010-02-03",9.4
"2010-02-04",11.7
"2010-02-05",11.7
"2010-02-06",11.1
"2010-02-07",6.7
"2010-02-08",8.9
"2010-02-09",6.7
"2010-02-10",5.0
"2010-02-11",8.3
"2010-02-12",9.4
"2010-02-13",9.4
"2010-02-14",10.6
"2010-02-15",12.2
"2010-02-16",11.7
"2010-02-17",12.2
"2010-02-18",12.8
"2010-02-19",11.7
"2010-02-20",10.6
"2010-02-21",11.7
"2010-02-22",11.7
"2010-02-23",7.8
"2010-02-24",11.1
"2010-02-25",11.7
"2010-02-26",12.2
"2010-02-27",10.6
"2010-02-28",7.8
"2010-03-01",10.0
"2010-03-02",12.8
"2010-03-03",12.2
"2010-03-04",10.6
"2010-03-05",8.3
"2010-03-06",10.6
"2010-03-07",10.0
"2010-03-08",11.1
"2010-03-09",8.9
"2010-03-10",10.0
"2010-03-11",7.8
"2010-03-12",8.3
"2010-03-13",10.0
"2010-03-14",9.4
"2010-03-15",9.4
"2010-03-16",13.9
"2010-03-17",15.0
"2010-03-18",12.8
"2010-03-19",11.7
"2010-03-20",11.7
"2010-03-21",11.1
"2010-03-22",10.6
"2010-03-23",12.8
"2010-03-24",11.7
"2010-03-25",12.2
"2010-03-26",11.1
"2010-03-27",10.6
"2010-03-28",12.8
"2010-03-29",12.8
"2010-03-30",13.9
"2010-03-31",11.7
"2010-04-01",9.4
"2010-04-02",9.4
"2010-04-03",10.6
"2010-04-04",11.1
"2010-04-05",11.1
"2010-04-06",9.4
"2010-04-07",11.1
"2010-04-08",13.3
"2010-04-09",12.8
"2010-04-10",13.3
"2010-04-11",11.7
"2010-04-12",11.1
"2010-04-13",8.9
"2010-04-14",10.0
"2010-04-15",11.7
"2010-04-16",11.7
"2010-04-17",11.7
"2010-04-18",11.7
"2010-04-19",13.9
"2010-04-20",12.2
"2010-04-21",10.0
"2010-04-22",8.3
"2010-04-23",7.8
"2010-04-24",12.2
"2010-04-25",11.7
"2010-04-26",11.7
"2010-04-27",13.3
"2010-04-28",12.8
"2010-04-29",11.7
"2010-04-30",13.3
"2010-05-01",11.1
"2010-05-02",12.2
"2010-05-03",13.3
"2010-05-04",12.8
"2010-05-05",13.3
"2010-05-06",13.3
"2010-05-07",13.9
"2010-05-08",14.4
"2010-05-09",12.8
"2010-05-10",10.6
"2010-05-11",12.2
"2010-05-12",10.6
"2010-05-13",13.9
"2010-05-14",13.3
"2010-05-15",12.8
"2010-05-16",13.9
"2010-05-17",12.8
"2010-05-18",13.3
"2010-05-19",12.8
"2010-05-20",13.3
"2010-05-21",13.3
"2010-05-22",12.2
"2010-05-23",11.1
"2010-05-24",11.1
"2010-05-25",10.6
"2010-05-26",12.8
"2010-05-27",13.9
"2010-05-28",12.2
"2010-05-29",12.2
"2010-05-30",13.9
"2010-05-31",15.6
"2010-06-01",15.0
"2010-06-02",15.0
